street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
N JORDAN AVE,2,0.251,24,24,3.0,0,0.0
SE 84TH PL,2,0.249,32,32,7.0,0,0.0
N NEWCASTLE AVE,4,0.249,15,24,3.0,1,0.062
N LEAVITT AVE,5,0.249,36,36,9.0,0,0.0
N LANCASTER AVE,2,0.249,12,12,-3.0,2,0.249
SW 39TH AVE,4,0.249,18,32,7.0,1,0.083
N FAILING ST,6,0.248,26,36,9.0,0,0.0
N MOBILE AVE,2,0.248,30,30,6.0,0,0.0
NE BELLEVUE AVE,6,0.248,20,36,9.0,0,0.0
SW ELM ST,5,0.248,24,26,4.0,0,0.0
SE 155TH PL,2,0.247,28,32,7.0,0,0.0
N SKIDMORE ST,5,0.247,28,28,5.0,0,0.0
N ST LOUIS AVE,4,0.247,15,36,9.0,1,0.099
NW WILARK AVE,3,0.247,12,28,5.0,2,0.174
NE 150TH PL,2,0.246,26,28,5.0,0,0.0
NW 27TH AVE,5,0.246,36,36,9.0,0,0.0
N RENO AVE,6,0.246,20,36,9.0,0,0.0
SE 30TH PL,3,0.246,30,30,6.0,0,0.0
NE SUMMERPLACE DR,4,0.246,32,32,7.0,0,0.0
NE US GRANT PL,3,0.245,24,36,9.0,0,0.0
SW 44TH AVE,2,0.244,12,32,7.0,1,0.057
NW 81ST PL,1,0.243,28,28,5.0,0,0.0
N HIGHLAND ST,3,0.243,28,28,5.0,0,0.0
SW CUSTER DR,1,0.243,36,36,9.0,0,0.0
SE OGDEN DR,4,0.242,26,26,4.0,0,0.0
NE 87TH PL,4,0.242,28,28,5.0,0,0.0
N SEDRO ST,3,0.242,30,30,6.0,0,0.0
SW MARTHA TER,2,0.241,30,30,6.0,0,0.0
NW SPENCER ST,3,0.241,26,26,4.0,0,0.0
SE 169TH AVE,5,0.24,32,32,7.0,0,0.0
SW 59TH PL,1,0.24,28,28,5.0,0,0.0
NW 33RD AVE,2,0.24,24,28,5.0,0,0.0
SW 47TH PL,1,0.239,30,30,6.0,0,0.0
SE 142ND PL,4,0.239,26,28,5.0,0,0.0
SW BAIRD ST,4,0.239,12,20,1.0,3,0.189
SW DEWITT ST,3,0.238,15,30,6.0,1,0.086
SW HAWTHORNE TER,2,0.237,22,22,2.0,0,0.0
SW PLUM CT,3,0.237,15,32,7.0,1,0.082
NW BARNES RD,2,0.236,16,20,1.0,1,0.13
SW ST CLAIR AVE,4,0.236,30,34,8.0,0,0.0
N JAMES ST,2,0.235,36,36,9.0,0,0.0
NE EUGENE CT,2,0.235,28,32,7.0,0,0.0
SW LOGAN ST,3,0.234,18,32,7.0,1,0.112
NE 138TH AVE,4,0.234,32,32,7.0,0,0.0
NE DURHAM AVE,5,0.234,20,40,11.0,0,0.0
SE POWELL CT,3,0.231,32,32,7.0,0,0.0
SW BEAVERTON AVE,5,0.231,24,24,3.0,0,0.0
SW PRIMROSE ST,2,0.23,20,22,2.0,0,0.0
SW PATTON CT,1,0.23,28,28,5.0,0,0.0
SE CLATSOP CT,2,0.23,32,32,7.0,0,0.0
SW PROSPECT DR,3,0.229,16,22,2.0,2,0.187
NW WOODSIDE TER,1,0.229,18,18,0.0,1,0.229
SW MELVILLE AVE,1,0.229,28,28,5.0,0,0.0
N MCKENNA AVE,3,0.229,16,36,9.0,1,0.03
N LOVELY ST,3,0.227,24,24,3.0,0,0.0
SE MADISON DR,3,0.227,32,32,7.0,0,0.0
SW TOWER WAY,2,0.226,20,28,5.0,0,0.0
SE 106TH AVE,2,0.225,28,32,7.0,0,0.0
SE 157TH DR,3,0.225,32,32,7.0,0,0.0
N SWIFT ST,2,0.225,32,32,7.0,0,0.0
N CAREY BLVD,2,0.225,32,36,9.0,0,0.0
N ARMOUR ST,2,0.224,30,32,7.0,0,0.0
NW VAUGHN ST,4,0.224,36,36,9.0,0,0.0
NW 3RD ST,2,0.224,12,12,-3.0,2,0.224
SW LAUREL ST,5,0.223,16,26,4.0,1,0.024
SW HAMPSHIRE ST,2,0.222,24,24,3.0,0,0.0
SE REYNOLDS ST,3,0.222,30,36,9.0,0,0.0
SE 175TH PL,2,0.222,32,32,7.0,0,0.0
NE ALTON CT,4,0.221,32,32,7.0,0,0.0
SE 118TH AVE,3,0.221,28,32,7.0,0,0.0
SE ARNOLD WAY,1,0.221,12,12,-3.0,1,0.221
SW LESSER WAY,1,0.221,12,12,-3.0,1,0.221
N GIRARD ST,3,0.221,24,30,6.0,0,0.0
NE 145TH AVE,5,0.22,32,32,7.0,0,0.0
NW LURAY TER,1,0.22,24,24,3.0,0,0.0
NE LEVEE RD,2,0.218,14,18,0.0,2,0.218
SW RICHARDSON DR,3,0.218,18,20,1.0,1,0.117
SW 36TH PL,3,0.218,18,28,5.0,1,0.051
SW MITCHELL CT,3,0.218,18,32,7.0,2,0.154
NE KILLINGSWORTH CT,3,0.217,29,30,6.0,0,0.0
SE HARRISON CT,2,0.217,24,28,5.0,0,0.0
NW SEBLAR TER,1,0.217,30,30,6.0,0,0.0
NE BEECH CT,4,0.216,28,32,7.0,0,0.0
NE DEKUM ST,4,0.215,40,40,11.0,0,0.0
N ASTOR ST,2,0.215,24,32,7.0,0,0.0
N HENDRICKS ST,5,0.215,23,32,7.0,0,0.0
N FOX ST,3,0.215,15,24,3.0,1,0.056
N BURLINGTON AVE,4,0.214,36,36,9.0,0,0.0
SW PATRICK PL,3,0.214,14,22,2.0,1,0.028
NE EVERETT CT,4,0.212,12,32,7.0,2,0.111
NE 32ND CT,2,0.211,24,24,3.0,0,0.0
SW BRIER PL,2,0.211,16,20,1.0,1,0.115
SW 46TH PL,1,0.211,30,30,6.0,0,0.0
N CASTLE AVE,3,0.21,26,26,4.0,0,0.0
SE WAVERLEIGH BLVD,2,0.21,40,60,21.0,0,0.0
SE WOODSTOCK BLVD,4,0.209,32,40,11.0,0,0.0
NW ALBEMARLE TER,2,0.209,24,28,5.0,0,0.0
NW MAYFIELD RD,2,0.207,28,32,7.0,0,0.0
NE 146TH AVE,1,0.206,32,32,7.0,0,0.0
SW GERALD AVE,1,0.206,18,18,0.0,1,0.206
N IRIS WAY,4,0.206,24,36,9.0,0,0.0
NW MCKENNA DR,1,0.206,26,26,4.0,0,0.0
N CHAUTAUQUA PL,3,0.206,38,40,11.0,0,0.0
NW 2ND ST,2,0.204,12,18,0.0,2,0.204
NW WOOD ROSE LOOP,2,0.203,28,28,5.0,0,0.0
SW 26TH AVE,5,0.203,20,32,7.0,0,0.0
N CALVERT AVE,2,0.203,30,30,6.0,0,0.0
SW SANTA MONICA CT,2,0.203,34,34,8.0,0,0.0
SW 63RD DR,1,0.202,32,32,7.0,0,0.0
SW DICKINSON CT,2,0.202,32,32,7.0,0,0.0
N PRESCOTT ST,5,0.201,18,30,6.0,3,0.081
SW SEYMOUR DR,1,0.201,28,28,5.0,0,0.0
SE 120TH PL,2,0.2,26,26,4.0,0,0.0
N COLFAX ST,2,0.199,30,30,6.0,0,0.0
N WESTANNA AVE,3,0.199,28,28,5.0,0,0.0
NE 136TH PL,2,0.199,32,44,13.0,0,0.0
SW 13TH DR,2,0.198,30,30,6.0,0,0.0
NE HANCOCK DR,1,0.198,20,20,1.0,0,0.0
SW CLAY ST,2,0.198,36,36,9.0,0,0.0
NW 26TH AVE,4,0.198,36,36,9.0,0,0.0
SE 125TH AVE,4,0.197,22,32,7.0,0,0.0
N ALTA AVE,4,0.197,34,36,9.0,0,0.0
N KILLINGSWORTH CT,4,0.197,36,36,9.0,0,0.0
SW MARTINS LN,1,0.197,24,24,3.0,0,0.0
SW 54TH PL,4,0.197,32,34,8.0,0,0.0
SE FLAVEL CT,3,0.196,23,32,7.0,0,0.0
NW SKYLINE HEIGHTS DR,2,0.196,26,28,5.0,0,0.0
N COURTENAY AVE,2,0.196,28,32,7.0,0,0.0
N FAIRHAVEN AVE,2,0.194,24,24,3.0,0,0.0
SW SALMON ST,3,0.194,20,32,7.0,0,0.0
N BUTLER ST,3,0.194,14,16,-1.0,3,0.194
SW FERN ST,1,0.194,18,18,0.0,1,0.194
N HOLMES AVE,1,0.193,28,28,5.0,0,0.0
NW DAVIS ST,4,0.193,36,36,9.0,0,0.0
NW SPRINGVILLE RD,3,0.193,14,16,-1.0,3,0.193
SW 55TH PL,1,0.192,20,20,1.0,0,0.0
SW PARKHILL WAY,2,0.191,18,24,3.0,1,0.118
SW UPPER DR,2,0.19,20,24,3.0,0,0.0
SW GROVER ST,2,0.19,16,20,1.0,1,0.049
SE 146TH PL,4,0.19,20,32,7.0,0,0.0
SW 27TH PL,3,0.189,25,29,5.5,0,0.0
SW HOOKER ST,3,0.189,36,36,9.0,0,0.0
NW FRAZIER CT,3,0.188,26,26,4.0,0,0.0
NE HOLLADAY PL,2,0.188,28,28,5.0,0,0.0
SE PEACOCK LN,4,0.188,24,24,3.0,0,0.0
SW COLLINS CT,3,0.186,32,32,7.0,0,0.0
SE 108TH PL,3,0.186,28,32,7.0,0,0.0
NE GERTZ RD,2,0.185,20,20,1.0,0,0.0
SE LINN ST,2,0.185,36,36,9.0,0,0.0
SW MT ADAMS DR,3,0.185,22,24,3.0,0,0.0
SE BERKELEY PL,1,0.184,28,28,5.0,0,0.0
SE 165TH PL,2,0.184,28,28,5.0,0,0.0
SW 22ND AVE,2,0.183,15,20,1.0,1,0.094
NE LOMBARD CT,1,0.182,28,28,5.0,0,0.0
SW 31ST DR,1,0.182,18,18,0.0,1,0.182
SE 138TH DR,3,0.182,23,26,4.0,0,0.0
NW MACKAY AVE,1,0.181,28,28,5.0,0,0.0
NW RIO VISTA TER,1,0.181,24,24,3.0,0,0.0
NE 129TH AVE,2,0.181,32,32,7.0,0,0.0
N ST JOHNS AVE,4,0.181,30,30,6.0,0,0.0
SW TUALATIN AVE,3,0.18,24,24,3.0,0,0.0
SW DOWNS VIEW CT,1,0.18,28,28,5.0,0,0.0
NE 2ND AVE,2,0.179,20,36,9.0,0,0.0
SW 41ST PL,2,0.179,24,30,6.0,0,0.0
SW GEORGIAN PL,1,0.178,20,20,1.0,0,0.0
SW SEYMOUR CT,3,0.178,24,28,5.0,0,0.0
NW SUSSEX AVE,1,0.178,24,24,3.0,0,0.0
N MCCOY CT,4,0.178,26,26,4.0,0,0.0
NW PITTOCK AVE,2,0.177,30,30,6.0,0,0.0
SE POWELL BUTTE PKWY,3,0.177,26,26,4.0,0,0.0
NE BEYRL TER,3,0.176,28,32,7.0,0,0.0
NE BOEHMER ST,1,0.176,26,26,4.0,0,0.0
SE CRYSTAL SPRINGS ST,1,0.176,32,32,7.0,0,0.0
SW 35TH PL,3,0.175,28,28,5.0,0,0.0
SE 66TH PL,2,0.175,26,32,7.0,0,0.0
NW MARLBOROUGH AVE,2,0.175,20,24,3.0,0,0.0
SW BRENTWOOD DR,1,0.175,24,24,3.0,0,0.0
NW GREENBRIAR TER,1,0.174,24,24,3.0,0,0.0
N SKIDMORE CT,3,0.174,26,28,5.0,0,0.0
N BARR AVE,3,0.174,23,30,6.0,0,0.0
SE MARKET CT,3,0.174,30,32,7.0,0,0.0
NE MIRIMAR PL,3,0.173,28,28,5.0,0,0.0
SW 60TH PL,2,0.173,20,20,1.0,0,0.0
SW ALICE ST,3,0.172,18,24,3.0,1,0.051
NW RHODES LN,1,0.172,26,26,4.0,0,0.0
NE PARK LN,2,0.171,15,18,0.0,2,0.171
SW WESTWOOD LN,1,0.171,12,12,-3.0,1,0.171
SW 31ST CT,2,0.17,28,28,5.0,0,0.0
SW MONTGOMERY DR,2,0.17,20,28,5.0,0,0.0
NW ARIEL TER,2,0.17,16,24,3.0,1,0.055
SW STEPHENSON ST,1,0.169,21,21,1.5,0,0.0
SW KING AVE,4,0.168,36,36,9.0,0,0.0
NW CULPEPPER TER,1,0.168,24,24,3.0,0,0.0
SE ANKENY CIR,1,0.168,32,32,7.0,0,0.0
NW 112TH AVE,1,0.168,20,20,1.0,0,0.0
SE 169TH DR,1,0.168,32,32,7.0,0,0.0
SW ORCHARD HILL RD,3,0.167,26,32,7.0,0,0.0
SE TAMARACK AVE,3,0.167,24,24,3.0,0,0.0
N AINSWORTH ST,4,0.167,28,28,5.0,0,0.0
SW CREIGHTONWOOD PL,1,0.167,28,28,5.0,0,0.0
SE 119TH DR,3,0.167,32,32,7.0,0,0.0
NE SIMPSON CT,1,0.166,18,18,0.0,1,0.166
NE 95TH AVE,2,0.166,32,35,8.5,0,0.0
SW WOODS ST,4,0.166,24,36,9.0,0,0.0
SW LANCELOT LN,1,0.166,30,30,6.0,0,0.0
N HEREFORD AVE,1,0.165,32,32,7.0,0,0.0
NE 107TH AVE,2,0.164,20,28,5.0,0,0.0
NE EUCLID AVE,1,0.164,28,28,5.0,0,0.0
SW ADMIRAL ST,1,0.163,20,20,1.0,0,0.0
SW KARI LN,1,0.163,32,32,7.0,0,0.0
NE JONESMORE ST,2,0.163,28,28,5.0,0,0.0
SE MADISON CT,2,0.162,32,32,7.0,0,0.0
N DREW ST,3,0.162,20,32,7.0,0,0.0
SE 121ST AVE,2,0.162,25,32,7.0,0,0.0
SE GRANDVIEW TER,1,0.162,32,32,7.0,0,0.0
SE GLADSTONE DR,3,0.161,32,32,7.0,0,0.0
SW ARTHUR WAY,1,0.161,18,18,0.0,1,0.161
NE DEAN ST,2,0.161,36,36,9.0,0,0.0
SE TACOMA ST,4,0.161,13,60,21.0,1,0.058
N PIER PARK PL,3,0.16,36,36,9.0,0,0.0
SE SHERMAN DR,3,0.159,32,32,7.0,0,0.0
SE BUFORD LN,1,0.159,23,23,2.5,0,0.0
SE PINE CT,2,0.158,28,28,5.0,0,0.0
NW MANOR DR,1,0.157,20,20,1.0,0,0.0
SE LARCH AVE,2,0.157,24,24,3.0,0,0.0
SE KNAPP CIR,1,0.157,26,26,4.0,0,0.0
SE 133RD PL,3,0.156,23,28,5.0,0,0.0
NE LENORE ST,2,0.156,36,36,9.0,0,0.0
NE NEWPORT ST,2,0.156,32,32,7.0,0,0.0
SW VERMONT ST,3,0.156,30,30,6.0,0,0.0
SE HEMLOCK AVE,2,0.156,24,24,3.0,0,0.0
NE 77TH PL,2,0.156,24,30,6.0,0,0.0
SE 170TH DR,1,0.154,32,32,7.0,0,0.0
SW CHEHALEM AVE,3,0.154,21,24,3.0,0,0.0
SE MORELAND LN,2,0.154,16,24,3.0,1,0.046
SE HAWTHORNE MEADOWS ST,1,0.154,23,23,2.5,0,0.0
NE THOMPSON CT,3,0.153,28,28,5.0,0,0.0
NE DYER ST,2,0.153,26,28,5.0,0,0.0
SE 140TH PL,3,0.153,18,26,4.0,1,0.044
SE EVERGREEN DR,3,0.153,26,26,4.0,0,0.0
NE 92ND AVE,2,0.152,28,28,5.0,0,0.0
NE EDGEHILL PL,2,0.152,24,24,3.0,0,0.0
NW CALUMET TER,1,0.152,18,18,0.0,1,0.152
SE VAN WATER ST,1,0.15,30,30,6.0,0,0.0
SE HICKORY ST,2,0.15,24,24,3.0,0,0.0
SW WESTWOOD VW,1,0.15,18,18,0.0,1,0.15
NW SKYVIEW DR,2,0.149,20,20,1.0,0,0.0
SE 110TH AVE,3,0.149,28,40,11.0,0,0.0
SE 6TH AVE,3,0.148,28,42,12.0,0,0.0
N WELLESLEY AVE,2,0.148,26,26,4.0,0,0.0
SW 33RD DR,2,0.148,20,30,6.0,0,0.0
NW 28TH AVE,3,0.147,28,36,9.0,0,0.0
N COURT AVE,2,0.147,26,26,4.0,0,0.0
SW BUDDINGTON ST,2,0.146,22,32,7.0,0,0.0
SE ASH CT,2,0.146,28,30,6.0,0,0.0
SE OAK CT,1,0.146,18,18,0.0,1,0.146
SE HOLLY ST,2,0.146,24,24,3.0,0,0.0
SE 145TH CT,2,0.145,26,28,5.0,0,0.0
NW MONTE VISTA TER,1,0.145,16,16,-1.0,1,0.145
NW FRANKLIN CT,2,0.145,36,36,9.0,0,0.0
SE 127TH PL,2,0.145,26,29,5.5,0,0.0
SW HOMESTEAD DR,1,0.144,48,48,15.0,0,0.0
SE 115TH PL,2,0.144,28,28,5.0,0,0.0
SE 76TH PL,2,0.144,28,28,5.0,0,0.0
N SUPERIOR ST,2,0.144,15,36,9.0,1,0.067
NE LAWRENCE AVE,3,0.144,24,34,8.0,0,0.0
SE TAGGART CT,4,0.143,19,29,5.5,0,0.0
N BLISS ST,2,0.143,23,23,2.5,0,0.0
NW HAZELTINE ST,3,0.143,26,32,7.0,0,0.0
NW VERDE VISTA TER,2,0.142,18,24,3.0,1,0.045
NE 132ND PL,1,0.142,32,32,7.0,0,0.0
SE 104TH CT,1,0.142,28,28,5.0,0,0.0
N GOING ST,2,0.142,18,36,9.0,1,0.046
SW ORCHARD HILL LN,2,0.142,25,29,5.5,0,0.0
N OVERLOOK TER,3,0.142,18,18,0.0,3,0.142
N NEW YORK AVE,2,0.142,30,36,9.0,0,0.0
N NASHTON ST,2,0.141,20,30,6.0,0,0.0
N DANA AVE,2,0.141,22,32,7.0,0,0.0
SW GALE AVE,2,0.14,22,30,6.0,0,0.0
NW HOLLOWAY DR,1,0.14,26,26,4.0,0,0.0
NE FARGO CIR,1,0.14,20,20,1.0,0,0.0
NW COUNTRY WOODS LN,1,0.14,20,20,1.0,0,0.0
NW CUMBERLAND RD,1,0.139,24,24,3.0,0,0.0
NE DUDDLESON ST,1,0.138,26,26,4.0,0,0.0
N JOHNSWOOD DR,2,0.138,23,26,4.0,0,0.0
NE SANDYCREST TER,1,0.138,24,24,3.0,0,0.0
NE 160TH DR,3,0.138,32,32,7.0,0,0.0
N DECATUR ST,2,0.138,14,24,3.0,1,0.068
NW IMPERIAL TER,1,0.137,24,24,3.0,0,0.0
SW CONDOR WAY,1,0.137,36,36,9.0,0,0.0
N IVY ST,2,0.136,36,36,9.0,0,0.0
SW ELIZABETH ST,2,0.136,24,28,5.0,0,0.0
NE 148TH AVE,2,0.136,24,24,3.0,0,0.0
NE HOLLADAY CT,1,0.136,32,32,7.0,0,0.0
NE 102ND AVE FRONTAGE RD,2,0.135,18,20,1.0,1,0.057
NE 146TH DR,3,0.135,32,32,7.0,0,0.0
NE AINSWORTH CT,2,0.134,28,28,5.0,0,0.0
NE 106TH PL,2,0.134,28,28,5.0,0,0.0
SW ROSWELL AVE,1,0.134,20,20,1.0,0,0.0
NE 124TH AVE,3,0.134,32,32,7.0,0,0.0
NW CRESTVIEW WAY,1,0.133,26,26,4.0,0,0.0
NE GILE TER,1,0.132,22,22,2.0,0,0.0
NW THURMAN ST,1,0.132,20,20,1.0,0,0.0
SW GREEN AVE,2,0.132,23,24,3.0,0,0.0
SE ST ANDREWS DR,2,0.132,25,26,4.0,0,0.0
NE WIBERG LN,1,0.132,22,22,2.0,0,0.0
NE 126TH PL,2,0.131,28,28,5.0,0,0.0
SE RHINE CT,2,0.131,32,32,7.0,0,0.0
NW HAWKINS BLVD,2,0.131,28,28,5.0,0,0.0
SW NAITO PKWY FRONTAGE RD,3,0.131,20,24,3.0,0,0.0
SW HIGHLAND RD,2,0.13,18,18,0.0,2,0.13
NE EDGEWATER DR,2,0.129,23,23,2.5,0,0.0
NW MILDRED ST,1,0.129,24,24,3.0,0,0.0
N WOOLSEY AVE,3,0.129,29,36,9.0,0,0.0
N KISKA ST,2,0.129,30,30,6.0,0,0.0
NE 107TH PL,1,0.129,28,28,5.0,0,0.0
SW CARAWAY CT,2,0.128,28,32,7.0,0,0.0
NE RUSSELL PL,2,0.128,18,32,7.0,1,0.091
SE ANDEREGG DR,2,0.128,26,30,6.0,0,0.0
SW DOVER ST,1,0.126,26,26,4.0,0,0.0
SW CANBY CT,1,0.126,30,30,6.0,0,0.0
E BURNSIDE ST FRONTAGE RD,2,0.126,28,28,5.0,0,0.0
SE CLAY CT,1,0.126,32,32,7.0,0,0.0
N ALBERTA ST,1,0.126,36,36,9.0,0,0.0
NW BENSON LN,1,0.126,24,24,3.0,0,0.0
SE DUNBAR DR,1,0.126,23,23,2.5,0,0.0
NE KNOTT CT,2,0.125,32,32,7.0,0,0.0
NE 99TH AVE,1,0.125,28,28,5.0,0,0.0
NE 98TH AVE,1,0.125,16,16,-1.0,1,0.125
SE TENINO CT,2,0.125,20,36,9.0,0,0.0
SE STEPHENS PL,1,0.125,28,28,5.0,0,0.0
SE 148TH AVE,1,0.125,26,26,4.0,0,0.0
SE 145TH PL,1,0.125,28,28,5.0,0,0.0
N HURON AVE,1,0.125,24,24,3.0,0,0.0
N STOCKTON AVE,1,0.125,20,20,1.0,0,0.0
SW FAIRVIEW CIRCUS,1,0.125,14,14,-2.0,1,0.125
SE HENRY PL,1,0.125,30,30,6.0,0,0.0
SE 174TH PL,1,0.124,32,32,7.0,0,0.0
SW FREEMAN CT,1,0.124,32,32,7.0,0,0.0
NE MASON CT,1,0.124,26,26,4.0,0,0.0
SE 75TH PL,1,0.124,32,32,7.0,0,0.0
SW 34TH PL,2,0.124,32,32,7.0,0,0.0
N LIBERTY ST,1,0.124,24,24,3.0,0,0.0
NE LIBERTY TER,2,0.124,28,28,5.0,0,0.0
NE BEAKEY ST,1,0.123,30,30,6.0,0,0.0
NE RANDALL AVE,3,0.123,21,36,9.0,0,0.0
SW GILLCREST CT,1,0.122,30,30,6.0,0,0.0
SW ASH CREEK DR,2,0.122,32,32,7.0,0,0.0
SW PATTON LN,1,0.121,24,24,3.0,0,0.0
SW KANAN ST,2,0.121,10,28,5.0,1,0.089
N SKY ST,1,0.121,30,30,6.0,0,0.0
SW LEE ST,2,0.12,25,28,5.0,0,0.0
SW LYLE CT,1,0.12,28,28,5.0,0,0.0
SW FAIRVALE DR,1,0.12,18,18,0.0,1,0.12
SW 35TH AVE,2,0.119,12,24,3.0,1,0.095
NW 20TH PL,1,0.119,36,36,9.0,0,0.0
SW JAN TREE CT,1,0.119,28,28,5.0,0,0.0
SW MARKET STREET DR,2,0.119,24,24,3.0,0,0.0
NE WALKER ST,1,0.118,24,24,3.0,0,0.0
NE 165TH AVE,3,0.118,23,23,2.5,0,0.0
SW WOODLEE HEIGHTS CT,1,0.118,32,32,7.0,0,0.0
N COLUMBIA CT,1,0.118,32,32,7.0,0,0.0
N CHATHAM AVE,1,0.117,36,36,9.0,0,0.0
SW CACTUS DR,1,0.117,24,24,3.0,0,0.0
NW MENDENHALL ST,1,0.116,32,32,7.0,0,0.0
SW 64TH PL,1,0.116,20,20,1.0,0,0.0
SW BARNES RD,1,0.116,16,16,-1.0,1,0.116
N ALASKA PL,1,0.116,30,30,6.0,0,0.0
SE VALENTINE DR,2,0.116,26,26,4.0,0,0.0
NE TAMERA LN,1,0.116,20,20,1.0,0,0.0
N SKIDMORE TER,1,0.116,16,16,-1.0,1,0.116
NE WARD ST,1,0.116,32,32,7.0,0,0.0
NE BUXTON ST,2,0.116,36,36,9.0,0,0.0
NW TWILIGHT TER,2,0.115,28,28,5.0,0,0.0
SW ROUNDTREE CT,2,0.115,32,32,7.0,0,0.0
SE FIRENZE LN,2,0.115,16,16,-1.0,2,0.115
SE WOODSTOCK CT,2,0.115,32,40,11.0,0,0.0
SW STONEBROOK DR,2,0.115,28,30,6.0,0,0.0
SW GIBBS ST,2,0.114,24,36,9.0,0,0.0
SW BUENAVISTA DR,1,0.114,20,20,1.0,0,0.0
NW COLLEGE DR,1,0.114,12,12,-3.0,1,0.114
SW CRESTLINE DR,2,0.113,24,28,5.0,0,0.0
NW BEUHLA VISTA TER,2,0.113,24,24,3.0,0,0.0
SE MOUNTAIN VIEW DR,2,0.113,24,24,3.0,0,0.0
NE MADRONA ST,2,0.113,36,36,9.0,0,0.0
NE CRANE ST,2,0.113,22,22,2.0,0,0.0
SE LILLIAN WAY,1,0.113,30,30,6.0,0,0.0
NE MORTON ST,2,0.112,26,36,9.0,0,0.0
SW LOGAN CT,2,0.112,28,32,7.0,0,0.0
SW YAMHILL ST,2,0.112,24,36,9.0,0,0.0
SE WOODWARD CT,1,0.112,32,32,7.0,0,0.0
SW JACKSON ST,2,0.112,26,28,5.0,0,0.0
SW 29TH CT,2,0.112,28,28,5.0,0,0.0
SE LAFAYETTE CT,2,0.112,30,30,6.0,0,0.0
SW 6TH CT,1,0.11,20,20,1.0,0,0.0
SW WRIGHT AVE,1,0.11,22,22,2.0,0,0.0
SE WASHINGTON CT,3,0.11,24,32,7.0,0,0.0
NW MORGAN LN,1,0.11,32,32,7.0,0,0.0
SW 23RD DR,1,0.11,30,30,6.0,0,0.0
NW MELINDA AVE,2,0.11,28,28,5.0,0,0.0
SW WOODS CREEK CT,1,0.109,28,28,5.0,0,0.0
N FESSENDEN ST,3,0.109,29,29,5.5,0,0.0
SW 51ST PL,2,0.109,28,32,7.0,0,0.0
N EMERSON DR,1,0.109,24,24,3.0,0,0.0
N TYNDALL AVE,1,0.109,32,32,7.0,0,0.0
NE CLAREMONT AVE,2,0.109,36,36,9.0,0,0.0
NW 2ND CT,1,0.109,12,12,-3.0,1,0.109
N RICHARDS ST,1,0.108,32,32,7.0,0,0.0
N UNIVERSITY AVE,1,0.108,26,26,4.0,0,0.0
N ROCHESTER ST,1,0.108,26,26,4.0,0,0.0
NE FAILING CT,1,0.108,32,32,7.0,0,0.0
NW SHENANDOAH TER,1,0.108,24,24,3.0,0,0.0
SW YAMHILL DR,1,0.107,20,20,1.0,0,0.0
NW 83RD PL,1,0.107,32,32,7.0,0,0.0
SW 59TH DR,2,0.107,32,32,7.0,0,0.0
NW TUALATIN AVE,1,0.107,16,16,-1.0,1,0.107
NE SENATE ST,1,0.107,28,28,5.0,0,0.0
SW 13TH CT,1,0.107,25,25,3.5,0,0.0
SE MARKET DR,2,0.107,32,32,7.0,0,0.0
SE 117TH AVE,2,0.106,32,32,7.0,0,0.0
NE 143RD PL,1,0.106,32,32,7.0,0,0.0
SE GRAND AVE,3,0.106,31,40,11.0,0,0.0
SW SOUTHVIEW ST,2,0.106,40,40,11.0,0,0.0
NE MEIKLE PL,1,0.106,28,28,5.0,0,0.0
NE 95TH PL,1,0.105,28,28,5.0,0,0.0
SW CALDEW DR,1,0.105,18,18,0.0,1,0.105
SW FAIRMOUNT LN,1,0.105,18,18,0.0,1,0.105
NW LOMITA TER,1,0.105,24,24,3.0,0,0.0
NE STUART DR,1,0.105,18,18,0.0,1,0.105
NE 92ND PL,1,0.103,28,28,5.0,0,0.0
SW 49TH CT,2,0.103,26,32,7.0,0,0.0
NE 137TH PL,1,0.103,32,32,7.0,0,0.0
NE DAVIS CT,2,0.103,23,23,2.5,0,0.0
SW DONNER WAY,1,0.103,20,20,1.0,0,0.0
NE ALAMEDA DR,1,0.102,28,28,5.0,0,0.0
NE PACIFIC CT,1,0.102,28,28,5.0,0,0.0
SE 160TH PL,1,0.101,32,32,7.0,0,0.0
SE KNAPP DR,1,0.101,26,26,4.0,0,0.0
SW GALEBURN ST,3,0.101,24,32,7.0,0,0.0
NE PRESCOTT ST,2,0.101,18,20,1.0,1,0.049
SE ALTA VERDE DR,1,0.101,28,28,5.0,0,0.0
N MINERVA AVE,1,0.101,32,32,7.0,0,0.0
NE 113TH PL,2,0.101,20,32,7.0,0,0.0
SW SPRING ST,2,0.1,26,26,4.0,0,0.0
SW ARDMORE AVE,1,0.1,24,24,3.0,0,0.0
NW ASPEN AVE,2,0.1,16,30,6.0,1,0.047
SW DOSCHDALE DR,2,0.1,30,30,6.0,0,0.0
SE BEARSPAW ST,1,0.099,24,24,3.0,0,0.0
NE 139TH AVE,2,0.099,32,32,7.0,0,0.0
NE 132ND CT,1,0.099,28,28,5.0,0,0.0
SW DICKINSON LN,1,0.099,32,32,7.0,0,0.0
SW DOSCH CT,1,0.099,18,18,0.0,1,0.099
SE LOUNSBERRY LN,3,0.099,16,16,-1.0,3,0.099
SW EVERGREEN TER,1,0.099,18,18,0.0,1,0.099
