street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
N CENTRAL ST,21,1.359,12,36,9.0,1,0.045
N TERRY ST,13,1.358,16,30,6.0,1,0.048
NE 114TH AVE,14,1.353,24,28,5.0,0,0.0
SW 52ND AVE,15,1.34,18,44,13.0,2,0.23
SE 20TH AVE,16,1.333,24,36,9.0,0,0.0
NE 45TH AVE,14,1.326,20,38,10.0,0,0.0
SW NEVADA CT,17,1.321,10,32,7.0,9,0.637
NE CESAR E CHAVEZ BLVD,17,1.32,18,36,9.0,1,0.028
N HUDSON ST,22,1.312,20,36,9.0,0,0.0
NE 47TH AVE,17,1.303,24,42,12.0,0,0.0
N WATTS ST,11,1.301,14,36,9.0,1,0.098
N BORTHWICK AVE,17,1.299,28,41,11.5,0,0.0
SE 24TH AVE,21,1.292,24,36,9.0,0,0.0
NE 40TH AVE,14,1.286,18,30,6.0,1,0.03
SE 11TH AVE,24,1.286,24,36,9.0,0,0.0
N LEONARD ST,14,1.284,20,36,9.0,0,0.0
SE 76TH AVE,14,1.279,15,36,9.0,1,0.091
SE 153RD AVE,10,1.279,28,38,10.0,0,0.0
N PRINCETON ST,18,1.272,24,36,9.0,0,0.0
NE 43RD AVE,15,1.266,22,45,13.5,0,0.0
SE HAIG ST,17,1.26,16,36,9.0,1,0.087
NE 72ND AVE,14,1.259,20,38,10.0,0,0.0
NE 46TH AVE,13,1.248,20,28,5.0,0,0.0
SE 23RD AVE,17,1.248,22,36,9.0,0,0.0
SE 100TH AVE,17,1.244,26,42,12.0,0,0.0
SE 157TH AVE,14,1.238,24,36,9.0,0,0.0
SE 101ST AVE,21,1.224,28,32,7.0,0,0.0
NE 54TH AVE,13,1.223,21,32,7.0,0,0.0
NE MILTON ST,11,1.222,24,32,7.0,0,0.0
SW 34TH AVE,12,1.221,16,32,7.0,4,0.648
SE 59TH AVE,11,1.218,24,28,5.0,0,0.0
SE 119TH AVE,11,1.217,20,38,10.0,0,0.0
NE 44TH AVE,16,1.212,24,45,13.5,0,0.0
SW HUME ST,16,1.208,10,36,9.0,4,0.407
SE 61ST AVE,10,1.203,24,32,7.0,0,0.0
NE 56TH AVE,16,1.2,24,28,5.0,0,0.0
NE 86TH AVE,16,1.2,16,32,7.0,1,0.057
